"Qty";"Value";"Device";"Package";"Parts";"Description";"MATERIAL";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SF_ID";"SPICEPREFIX";"SUPPLIER";"VALUE";
"1";"";"CONN_04SMD2";"1X04_1MM_RA";"J1";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"CONN-10310";"PRT-10208";"";"";"";
"1";"";"CONN_05SMD2";"1X05_1MM_RA";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"CPOL-EU153CLV-0505";"153CLV-0505";"C21, C22";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";"";"";
"1";"";"CPOL-EUB/3528-21R";"B/3528-21R";"C40";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"C";"";"";
"3";"";"DIODE-SCHOTTKY-SOD523";"SOD523";"VD2, VD3, VD4";"SCHOTTKY DIODE";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"HEADER_POS4_43045-0401";"43045-0400";"X1";"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 4 positions.";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"HEADER_POS6_43045-0600";"43045-0600";"X2";"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 6 positions.";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"IRM_15/20IRM_15/20";"IRM_15/20";"U$4";"15 or 20 watt";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"NMA";"NMA";"DC1";"DC-DC CONVERTER";"";"C & D TECHNOLOGIES, INC";"NMA0515SC";"1021434";"61K3064";"";"";"";"";"";"";
"1";"";"NME";"NME";"DC2";"DC-DC CONVERTER";"";"C & D TECHNOLOGIES, INC";"NME1205D";"1021466";"98B8198";"";"";"";"";"";"";
"1";" MAX3485CSA";"RS485SOIC";"SO08";"U4";"RS-485 Transceiver";"";"";"";"";"";"";"IC-09388";"";"";"";" MAX3485CSA";
"1";"1.5k";"R-EU_R0805";"R0805";"R58";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"5";"100K";"R-EU_R0805";"R0805";"R63, R64, R66, R67, R68";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"6";"100k";"R-EU_R0805";"R0805";"R46, R48, R49, R50, R53, R56";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"15";"100n";"C-EUC0805K";"C0805K";"C13, C15, C17, C18, C23, C24, C25, C28, C29, C30, C34, C35, C36, C37, C38";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10K";"R_EU";"R0805";"R20";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10K";"SMD-RES-ARRAY-1K-4R(RA1206-8)";"RA1206-8";"R21";"301030012";"";"";"Chip-Array-Series-1%";"";"";"";"";"";"";"";"1K";
"4";"10k";"R-EU_R0805";"R0805";"R30, R31, R59, R60";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"6";"10u";"C-EUC0805K";"C0805K";"C12, C19, C26, C27, C31, C39";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"120";"R-EU_R0805";"R0805";"R65";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"4";"15p";"C-EUC0805K";"C0805K";"C10, C11, C32, C33";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"16.384";"CRYSTALSMD-3.2X2.5";"CRYSTAL-SMD-3.2X2.5MM";"Y1";"Crystals (Generic)";"";"";"";"";"";"";"";"";"";"";"";
"3";"18n";"C-EUC0805K";"C0805K";"C14, C16, C20";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"9";"18nf";"C-EUC0805K";"C0805K";"C1, C2, C3, C4, C5, C6, C7, C8, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"12";"1K";"R_EU";"R0805";"R8, R9, R10, R11, R19, R29, R34, R35, R38, R39, R42, R43";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22";"R-EU_R0805";"R0805";"R55, R57";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"6";"24";"R_EU";"R0805";"R36, R37, R40, R41, R44, R45";"";"";"";"";"";"";"";"";"";"";"";"";
"21";"240K";"R_EU";"R0805";"R1, R2, R3, R4, R5, R6, R7, R12, R13, R14, R15, R16, R17, R18, R22, R23, R24, R25, R26, R27, R28";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"U1, U3";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"";"";"VREG-12457";"";"";"";"3.3V";
"2";"300k";"R-EU_R0805";"R0805";"R33, R52";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"4.7k";"R-EU_R0805";"R0805";"R61, R62";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"8";"CRYSTALSMD-3.2X2.5";"CRYSTAL-SMD-3.2X2.5MM";"Y2";"Crystals (Generic)";"";"";"";"";"";"";"";"";"";"";"";
"2";"82k";"R-EU_R0805";"R0805";"R47, R54";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"910";"R-EU_R1206";"R1206";"R32, R51";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
