"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SPICEPREFIX";"VALUE";
"3";"";"DIODE-STANDARD-SOD323";"SOD323";"VD1, VD2, VD3";"";"";"";"";"";"";"";"";
"1";"";"HEADER_POS8_43045-0812";"43045-0812";"X1";"Molex - Micro-Fit 3.0 Series connector,  3.00mm (0.118") pitch header, 8 positions.";"";"";"";"";"";"";"";
"1";"";"MA03-2";"MA03-2";"SV2";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";
"4";"10k";"R-EU_R0805";"R0805";"R4, R5, R6, R7";"RESISTOR, European symbol";"";"";"";"";"";"R";"";
"3";"270k";"R-EU_R1210";"R1210";"R1, R2, R3";"RESISTOR, European symbol";"";"";"";"";"";"R";"";
"2";"G6J-2P-Y";"G6J-2P-Y";"G6J-2P-Y";"K1, K2";"Surface-Mounting Signal Relay - G6J-Y 5.7 x 10.6 x 9 mm";"OMRON COMPONENTS USA";"G6J-2P-Y-DC12";"unknown";"70J9830";"";"";"";
"1";"ISOLATED_2P";"ISOLATED_2P";"STRIP_NOMIDDLE";"U$1";"";"";"";"";"";"";"";"";
"1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"U$2";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";"";"";
"2";"SFH6206";"SFH6206";"DIL4-SMD";"OK3, OK4";"Optocoupler, Phototransistor Output, AC Input";"VISHAY/TELEFUNKEN";"SFH6206-3";"1469585";"58K2214";"";"";"";
"2";"bss138";"MOSFET-NCH-BSS138";"SOT23-3";"Q1, Q2";"N-channel MOSFETs";"";"";"";"";"TRANS-00830";"";"220mA/50V/3.5Ω";
