"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SF_SKU";"SPICEPREFIX";"VALUE";
"3";"";"CPOL-EUB/3528-21R";"B/3528-21R";"C1, C5, C8";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"1";"";"FE08-2";"FE08-2";"SV1";"FEMALE HEADER";"";"";"unknown";"unknown";"";"";"";"";"";
"2";"";"LED1206";"LED-1206";"D3, D4";"LED (Generic)";"";"";"";"";"";"";"";"";"";
"2";"";"LED3MM";"LED_3MM";"D1, D2";"LED (Generic)";"";"";"";"";"DIO-08794";"";"";"";"";
"1";"";"MA03-1";"MA03-1";"SV3";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"";"MA03-2";"MA03-2";"SV2";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";"";
"1";"";"R-EU_R0603";"R0603";"F1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"R";"";
"14";"";"R-EU_R0805";"R0805";"R1, R2, R3, R4, R5, R6, R7, R8, R11, R12, R15, R16, R17, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"R";"";
"1";"";"USB_MICRO-B_SMT";"USB-MICROB";"J2";"USB Type Micro-B Connector";"";"";"";"";"CONN-09505";"PRT-08533";"";"";"";
"1";"100k";"R_EU";"R0805";"R31";"";"";"";"";"";"";"";"";"";"";
"5";"100n";"C-EUC0805K";"C0805K";"C3, C4, C6, C7, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"1";"10K";"SMD-RES-ARRAY-1K-4R(RA1206-8)";"RA1206-8";"R70";"301030012";"";"Chip-Array-Series-1%";"";"";"";"";"";"";"1K";
"3";"10u";"C-EUC0805K";"C0805K";"C2, C23, C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";
"4";"1k";"R-EU_R0805";"R0805";"R9, R10, R13, R14";"RESISTOR, European symbol";"";"";"";"";"";"";"";"R";"";
"1";"453k";"R_EU";"R0805";"R30";"";"";"";"";"";"";"";"";"";"";
"1";"MICRO_SD";"MICRO_SD";"MICRO_SD_C";"U$3";"";"";"";"";"";"";"";"";"";"";
"1";"MOMENTARY-SWITCH-SPST-PTH-RIGHT-ANGLE";"MOMENTARY-SWITCH-SPST-PTH-RIGHT-ANGLE";"TACTILE_SWITCH_PTH_RIGHT_ANGLE";"S3";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"CONN-10672";"";"COM-10791";"";"";
"3";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"S1, S2, S4";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"SWCH-00815";"";"COM-08229";"";"";
"1";"NEW2.2U";"NEW2.2U";"INDUCTOR_4X4MM";"U$9";"";"";"";"";"";"";"";"";"";"";
"1";"OSHW-LOGOS";"OSHW-LOGOS";"OSHW-LOGO-S";"U$4";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";"";"";"";"";
"1";"RJ45-TRAFO";"RJ45-TRAFO";"RJ45-TRAFO";"U$1";"RJ45 socket with integrated magnetics";"";"";"";"";"";"";"";"";"";
"1";"SKW92B";"SKW92B";"SKW92";"U$2";"";"";"";"";"";"";"";"";"";"";
"1";"TLV62658";"TLV62658";"SOT23-6";"U$8";"";"";"";"";"";"";"";"";"";"";
